类型,分类,原文件名,最终文件名,说明
完整图标库,01_餐饮美食,emoji_aubergine.png,emoji_aubergine.png,英文描述名称
完整图标库,01_餐饮美食,emoji_banana.png,emoji_banana.png,英文描述名称
完整图标库,01_餐饮美食,emoji_beer_mug.png,emoji_beer_mug.png,英文描述名称
完整图标库,01_餐饮美食,emoji_bento_box.png,emoji_bento_box.png,英文描述名称
完整图标库,01_餐饮美食,emoji_birthday_cake.png,emoji_birthday_cake.png,英文描述名称
完整图标库,01_餐饮美食,emoji_bottle_with_popping_cork.png,emoji_bottle_with_popping_cork.png,英文描述名称
完整图标库,01_餐饮美食,emoji_bread.png,emoji_bread.png,英文描述名称
完整图标库,01_餐饮美食,emoji_candy.png,emoji_candy.png,英文描述名称
完整图标库,01_餐饮美食,emoji_cherries.png,emoji_cherries.png,英文描述名称
完整图标库,01_餐饮美食,emoji_chocolate_bar.png,emoji_chocolate_bar.png,英文描述名称
完整图标库,01_餐饮美食,emoji_clinking_beer_mugs.png,emoji_clinking_beer_mugs.png,英文描述名称
完整图标库,01_餐饮美食,emoji_cocktail_glass.png,emoji_cocktail_glass.png,英文描述名称
完整图标库,01_餐饮美食,emoji_cooked_rice.png,emoji_cooked_rice.png,英文描述名称
完整图标库,01_餐饮美食,emoji_cookie.png,emoji_cookie.png,英文描述名称
完整图标库,01_餐饮美食,emoji_cooking.png,emoji_cooking.png,英文描述名称
完整图标库,01_餐饮美食,emoji_curry_and_rice.png,emoji_curry_and_rice.png,英文描述名称
完整图标库,01_餐饮美食,emoji_custard.png,emoji_custard.png,英文描述名称
完整图标库,01_餐饮美食,emoji_dango.png,emoji_dango.png,英文描述名称
完整图标库,01_餐饮美食,emoji_doughnut.png,emoji_doughnut.png,英文描述名称
完整图标库,01_餐饮美食,emoji_fish_cake_with_swirl_design.png,emoji_fish_cake_with_swirl_design.png,英文描述名称
完整图标库,01_餐饮美食,emoji_fork_and_knife.png,emoji_fork_and_knife.png,英文描述名称
完整图标库,01_餐饮美食,emoji_fork_and_knife_with_plate.png,emoji_fork_and_knife_with_plate.png,英文描述名称
完整图标库,01_餐饮美食,emoji_french_fries.png,emoji_french_fries.png,英文描述名称
完整图标库,01_餐饮美食,emoji_fried_shrimp.png,emoji_fried_shrimp.png,英文描述名称
完整图标库,01_餐饮美食,emoji_grapes.png,emoji_grapes.png,英文描述名称
完整图标库,01_餐饮美食,emoji_green_apple.png,emoji_green_apple.png,英文描述名称
完整图标库,01_餐饮美食,emoji_hamburger.png,emoji_hamburger.png,英文描述名称
完整图标库,01_餐饮美食,emoji_honey_pot.png,emoji_honey_pot.png,英文描述名称
完整图标库,01_餐饮美食,emoji_ice_cream.png,emoji_ice_cream.png,英文描述名称
完整图标库,01_餐饮美食,emoji_izakaya_lantern.png,emoji_izakaya_lantern.png,英文描述名称
完整图标库,01_餐饮美食,emoji_lemon.png,emoji_lemon.png,英文描述名称
完整图标库,01_餐饮美食,emoji_lollipop.png,emoji_lollipop.png,英文描述名称
完整图标库,01_餐饮美食,emoji_meat_on_bone.png,emoji_meat_on_bone.png,英文描述名称
完整图标库,01_餐饮美食,emoji_melon.png,emoji_melon.png,英文描述名称
完整图标库,01_餐饮美食,emoji_mushroom.png,emoji_mushroom.png,英文描述名称
完整图标库,01_餐饮美食,emoji_oden.png,emoji_oden.png,英文描述名称
完整图标库,01_餐饮美食,emoji_peach.png,emoji_peach.png,英文描述名称
完整图标库,01_餐饮美食,emoji_pear.png,emoji_pear.png,英文描述名称
